time value
1 4.00500
2 6.32750
3 7.27750
4 7.00250
5 6.82500
6 5.61500
7 6.08000
8 5.14750
9 5.48500
10 6.95500
11 -0.65000
12 1.61250
13 4.77750
14 5.20500
