time value
1 4.97500
2 7.08750
3 6.80500
4 6.92750
5 3.96000
6 4.20500
7 4.21500
8 3.79500
9 4.92500
10 2.81750
11 -0.65000
12 -0.65000
13 -0.65000
14 1.32750
