time value
1 5.46500
2 7.67750
3 7.84750
4 7.55000
5 7.23750
6 6.29750
7 5.28250
8 5.54250
9 5.73750
10 4.19500
11 4.04250
12 3.43500
13 3.18000
14 1.25250
